               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 158,            0.020049,           0.0076397,                   0,             0.86724,             0.76316,             0.86513,              0.4149,            0.040468,             0.02235,                   0,            0.002935,            0.002935,            0.002935
                 159,            0.019875,           0.0080208,                   0,             0.78396,             0.86842,             0.88569,             0.41594,            0.039921,            0.022713,                   0,             0.00289,             0.00289,             0.00289
                 160,            0.019526,           0.0074265,                   0,             0.86399,             0.83597,             0.85395,             0.43724,            0.039273,             0.02274,                   0,            0.002845,            0.002845,            0.002845
                 161,            0.019065,           0.0076516,                   0,             0.88867,             0.84211,             0.87522,             0.43924,            0.038925,            0.021992,                   0,              0.0028,              0.0028,              0.0028
                 162,            0.019544,           0.0075201,                   0,             0.83271,             0.81579,             0.86287,             0.42483,            0.039388,            0.022067,                   0,            0.002755,            0.002755,            0.002755
                 163,            0.019167,           0.0074395,                   0,             0.88629,              0.8206,             0.85778,             0.41277,            0.040261,            0.022783,                   0,             0.00271,             0.00271,             0.00271
                 164,            0.018874,           0.0074668,                   0,             0.88309,             0.79525,             0.85078,             0.42414,            0.040328,            0.022922,                   0,            0.002665,            0.002665,            0.002665
                 165,            0.018882,           0.0074925,                   0,             0.86083,             0.81393,              0.8323,              0.4017,            0.041287,             0.02298,                   0,             0.00262,             0.00262,             0.00262
                 166,            0.018715,           0.0075077,                   0,              0.8681,             0.81579,              0.8525,             0.41731,             0.03955,            0.022388,                   0,            0.002575,            0.002575,            0.002575
                 167,            0.018981,           0.0073396,                   0,              0.8277,             0.78947,             0.84429,             0.40289,            0.041166,            0.022489,                   0,             0.00253,             0.00253,             0.00253
                 168,            0.018756,           0.0075445,                   0,             0.88205,             0.78722,             0.84534,              0.4207,            0.040939,            0.022548,                   0,            0.002485,            0.002485,            0.002485
                 169,            0.018476,           0.0073503,                   0,             0.83708,             0.76316,             0.84124,             0.42047,             0.04029,            0.022612,                   0,             0.00244,             0.00244,             0.00244
